15692_12_1558061214143990817,0,205,201,0,35,0,19,0,0,0,128182970
15692_12_1558061214374788963,0,206,198,0,33,0,20,0,0,0,145893575
15692_12_1558061214565153600,0,206,198,0,33,0,20,0,0,0,168105587
15692_12_1558061214770985090,0,208,202,0,39,0,20,0,0,0,109814203
15692_12_1558061214934717583,0,208,199,0,36,0,22,0,0,0,133570426
15692_12_1558061215100603518,0,213,222,0,64,0,26,0,0,0,137934403
15692_12_1558061215238562579,0,208,217,0,54,0,22,0,0,0,214399601
15692_12_1558061215491481411,0,204,204,0,37,0,18,0,0,0,99787839
15692_12_1558061215648455965,0,212,205,0,46,0,25,0,0,0,100531883
15692_12_1558061215843217443,0,203,203,0,35,0,17,0,0,0,124638744
15692_12_1558061216030848748,0,209,196,0,34,0,23,0,0,0,107450528
15692_12_1558061216138333258,0,204,202,0,35,0,18,0,0,0,146219435
15692_12_1558061216327860602,0,209,192,0,30,0,23,0,0,0,42212929
15692_12_1558061216421987015,0,204,200,0,33,0,18,0,0,0,112657915
15692_12_1558061216624324477,0,206,200,0,35,0,20,0,0,0,95549612
15692_12_1558061216719895877,0,205,202,0,36,0,18,0,0,0,176100554
15692_12_1558061216941663661,0,206,196,0,31,0,20,0,0,0,95988504
15692_12_1558061217089476809,0,213,193,0,35,0,27,0,0,0,48892333
15692_12_1558061217179791593,0,206,199,0,34,0,20,0,0,0,136575291
15692_12_1558061217411621410,0,212,213,0,54,0,26,0,0,0,121841141
15692_12_1558061217580550989,0,207,200,0,36,0,21,0,0,0,129716647
15692_12_1558061217762078892,0,208,195,0,32,0,22,0,0,0,136230401
15692_12_1558061217936106856,0,207,206,0,42,1,20,0,0,0,115071474
15692_12_1558061218128425705,0,201,209,0,39,0,15,0,0,0,158300797
15692_12_1558061218315164454,0,206,202,0,37,0,20,0,0,0,125373599
15692_12_1558061218440561101,0,200,202,0,31,0,14,0,0,0,172495512
15692_12_1558061218664463168,0,206,195,0,30,0,20,0,0,0,66694649
15692_12_1558061218840164020,0,201,212,0,42,0,15,0,0,0,141005377
15692_12_1558061219027791721,0,205,203,0,37,0,19,0,0,0,109362938
