,Ngram,Normal mean,Normal sem,Cluster 0 mean,Cluster 0 sem,Cluster 1 mean,Cluster 1 sem,Cluster 2 mean,Cluster 2 sem
309,recvfrom,37.05590666018473,[0.00160548],37.12068965517241,[0.04441047],38.72222222222222,[0.3707802],37.0,[0.]
447,recvfrom access,6.99522694126486,[0.00040924],6.741379310344827,[0.05354129],6.972222222222222,[0.02777778],4.2,[0.2]
477,recvfrom access access,5.001723604543245,[0.00066729],4.732758620689655,[0.05524616],5.055555555555555,[0.05555556],2.8,[0.2]
422,recvfrom access newlstat,0.0,0.0,0.0,0.0,0.0,0.0,1.2,[0.2]
396,recvfrom access newstat,0.005082423653157732,[0.00046291],0.0603448275862069,[0.03070582],0.027777777777777776,[0.02777778],0.0,0.0
451,recvfrom access sendto,0.9960003535599063,[0.0002967],0.9568965517241379,[0.01893824],0.9722222222222222,[0.02777778],0.0,0.0
258,recvfrom access writev,0.9924205595085517,[0.0004077],0.9913793103448276,[0.00862069],0.9166666666666666,[0.04671766],0.2,[0.2]
23,recvfrom mmap,0.0015910195783798116,[0.00032468],0.1810344827586207,[0.0666157],0.0,0.0,2.0,[0.]
269,recvfrom mmap access,0.0010606797189198745,[0.00021646],0.1206896551724138,[0.04441047],0.0,0.0,1.0,[0.]
499,recvfrom mmap mmap,0.0005303398594599373,[0.00010823],0.0603448275862069,[0.02220523],0.0,0.0,1.0,[0.]
197,recvfrom newlstat,0.0010827772130640385,[0.0001546],0.06896551724137931,[0.02362925],0.027777777777777776,[0.02777778],1.8,[0.2]
286,recvfrom newlstat newlstat,8.838997657665621e-05,[4.41935233e-05],0.04310344827586207,[0.01893824],0.027777777777777776,[0.02777778],0.8,[0.37416574]
88,recvfrom newlstat newstat,0.0009943872364873824,[0.00014816],0.02586206896551724,[0.01480106],0.0,0.0,0.0,0.0
331,recvfrom newlstat open,0.0,0.0,0.0,0.0,0.0,0.0,1.0,[0.31622777]
111,recvfrom newstat,0.002629601803155522,[0.0002853],0.06896551724137931,[0.02661328],0.0,0.0,0.0,0.0
71,recvfrom newstat access,0.001679409554956468,[0.000195],0.008620689655172414,[0.00862069],0.0,0.0,0.0,0.0
5,recvfrom newstat newlstat,2.2097494144164052e-05,[2.20974941e-05],0.0,0.0,0.0,0.0,0.0,0.0
317,recvfrom newstat newstat,0.0009280947540548902,[0.00014314],0.0603448275862069,[0.02220523],0.0,0.0,0.0,0.0
24,recvfrom open,1.0,[0.],1.0,[0.],1.0,[0.],1.0,[0.]
380,recvfrom open newfstat,0.9941662615459407,[0.000358],0.9827586206896551,[0.01213837],1.0,[0.],1.0,[0.]
419,recvfrom open open,0.00583373845405931,[0.000358],0.017241379310344827,[0.01213837],0.0,0.0,0.0,0.0
142,recvfrom poll,11.0,[0.],11.0,[0.],11.0,[0.],11.0,[0.]
358,recvfrom poll recvfrom,11.0,[0.],11.0,[0.],11.0,[0.],11.0,[0.]
70,recvfrom recvfrom,0.05590666018473505,[0.00160548],0.1206896551724138,[0.04441047],1.7222222222222223,[0.3707802],0.0,0.0
486,recvfrom recvfrom access,0.005900030936491802,[0.00036137],0.017241379310344827,[0.01213837],0.1388888888888889,[0.05845603],0.0,0.0
99,recvfrom recvfrom open,0.0011269722013523666,[0.00015772],0.0,0.0,0.0,0.0,0.0,0.0
170,recvfrom recvfrom poll,0.0067618332081141996,[0.00038777],0.017241379310344827,[0.01213837],0.08333333333333333,[0.04671766],0.0,0.0
213,recvfrom recvfrom recvfrom,0.028108012551376675,[0.0008132],0.0603448275862069,[0.02220523],1.1944444444444444,[0.26672453],0.0,0.0
231,recvfrom recvfrom sendto,0.013059619039200955,[0.00054276],0.02586206896551724,[0.01480106],0.3055555555555556,[0.08746377],0.0,0.0
217,recvfrom recvfrom writev,0.0009501922481990542,[0.00014484],0.0,0.0,0.0,0.0,0.0,0.0
186,recvfrom sendto,17.0,[0.],17.0,[0.],17.0,[0.],17.0,[0.]
279,recvfrom sendto poll,16.974919344146375,[0.00075668],16.982758620689655,[0.01213837],16.97222222222222,[0.02777778],17.0,[0.]
181,recvfrom sendto sendto,0.025080655853626198,[0.00075668],0.017241379310344827,[0.01213837],0.027777777777777776,[0.02777778],0.0,0.0
381,recvfrom writev,0.9994696601405401,[0.00010823],0.9396551724137931,[0.02220523],1.0,[0.],0.0,0.0
98,recvfrom writev sendto,0.9572855438193308,[0.00095057],0.8620689655172413,[0.03215534],0.8888888888888888,[0.05312127],0.0,0.0
264,recvfrom writev writev,0.04218411632120918,[0.00094491],0.07758620689655173,[0.02494631],0.1111111111111111,[0.05312127],0.0,0.0
427,rt_sigaction,1.0,[0.],1.0,[0.],1.0,[0.],1.0,[0.]
483,rt_sigaction rt_sigprocmask,1.0,[0.],1.0,[0.],1.0,[0.],1.0,[0.]
354,rt_sigaction rt_sigprocmask getcwd,0.9994696601405401,[0.00010823],0.9396551724137931,[0.02220523],1.0,[0.],0.0,0.0
491,rt_sigaction rt_sigprocmask mmap,0.0005303398594599373,[0.00010823],0.0603448275862069,[0.02220523],0.0,0.0,1.0,[0.]
315,rt_sigprocmask,1.0,[0.],1.0,[0.],1.0,[0.],1.0,[0.]
112,rt_sigprocmask getcwd,0.9994696601405401,[0.00010823],0.9396551724137931,[0.02220523],1.0,[0.],0.0,0.0
484,rt_sigprocmask getcwd chdir,0.9988951252927918,[0.00015617],0.9396551724137931,[0.02220523],1.0,[0.],0.0,0.0
